,Unnamed: 0,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre,song_name,artist_name
998,998,0.665,0.578,1,-5.856,1,0.0398,0.374,0.00215,0.115,0.223,109.961,audio_features,7jEpRsSusmGqKFISucMnV7,spotify:track:7jEpRsSusmGqKFISucMnV7,https://api.spotify.com/v1/tracks/7jEpRsSusmGqKFISucMnV7,https://api.spotify.com/v1/audio-analysis/7jEpRsSusmGqKFISucMnV7,177562,4,R&B,Please Don't Fall In Love With Me,Khalid
999,999,0.559,0.551,5,-7.231,1,0.132,0.141,0.0,0.11,0.392,143.008,audio_features,4iZ4pt7kvcaH6Yo8UoZ4s2,spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2,https://api.spotify.com/v1/tracks/4iZ4pt7kvcaH6Yo8UoZ4s2,https://api.spotify.com/v1/audio-analysis/4iZ4pt7kvcaH6Yo8UoZ4s2,201800,4,R&B,Snooze,SZA
1000,1000,0.68,0.613,6,-7.506,1,0.0544,0.554,1.29e-05,0.085,0.14,89.942,audio_features,5bhDnM1VMFDTs3urFBq4Na,spotify:track:5bhDnM1VMFDTs3urFBq4Na,https://api.spotify.com/v1/tracks/5bhDnM1VMFDTs3urFBq4Na,https://api.spotify.com/v1/audio-analysis/5bhDnM1VMFDTs3urFBq4Na,194734,4,R&B,R e a l W o m a n,PARTYNEXTDOOR
1001,1001,0.568,0.731,3,-5.482,0,0.0576,0.0735,2.28e-05,0.0967,0.496,130.497,audio_features,7tr8SXmP9j0uVqUU0qoapb,spotify:track:7tr8SXmP9j0uVqUU0qoapb,https://api.spotify.com/v1/tracks/7tr8SXmP9j0uVqUU0qoapb,https://api.spotify.com/v1/audio-analysis/7tr8SXmP9j0uVqUU0qoapb,216043,4,R&B,Attention,Bryson Tiller
1002,1002,0.778,0.541,1,-7.127,1,0.0531,0.0636,1.91e-05,0.107,0.636,116.064,audio_features,40ds3xedbMkWhszkGnZwxi,spotify:track:40ds3xedbMkWhszkGnZwxi,https://api.spotify.com/v1/tracks/40ds3xedbMkWhszkGnZwxi,https://api.spotify.com/v1/audio-analysis/40ds3xedbMkWhszkGnZwxi,148518,4,R&B,ART,Tyla
1003,1003,0.775,0.662,10,-7.755,1,0.0408,0.117,0.0648,0.0928,0.257,112.014,audio_features,4nFrcGM7MY1mpoQCC7Kefj,spotify:track:4nFrcGM7MY1mpoQCC7Kefj,https://api.spotify.com/v1/tracks/4nFrcGM7MY1mpoQCC7Kefj,https://api.spotify.com/v1/audio-analysis/4nFrcGM7MY1mpoQCC7Kefj,192936,4,R&B,Me & U,Tems
1004,1004,0.451,0.754,10,-5.266,1,0.131,0.564,2.4e-06,0.311,0.379,158.344,audio_features,5utUZ5nv6y6dR8irsnOQEj,spotify:track:5utUZ5nv6y6dR8irsnOQEj,https://api.spotify.com/v1/tracks/5utUZ5nv6y6dR8irsnOQEj,https://api.spotify.com/v1/audio-analysis/5utUZ5nv6y6dR8irsnOQEj,175063,4,R&B,Bloom,Aqyila
1005,1005,0.785,0.47,7,-6.42,0,0.0329,0.137,1.12e-06,0.131,0.0569,120.006,audio_features,0WIv5qV41y6YjjB9V1biuC,spotify:track:0WIv5qV41y6YjjB9V1biuC,https://api.spotify.com/v1/tracks/0WIv5qV41y6YjjB9V1biuC,https://api.spotify.com/v1/audio-analysis/0WIv5qV41y6YjjB9V1biuC,188000,4,R&B,Made For Me,Muni Long
1006,1006,0.518,0.592,5,-4.22,0,0.175,0.658,0.0,0.196,0.489,134.222,audio_features,4HN6CicOpFp1nrkxHFM3Gt,spotify:track:4HN6CicOpFp1nrkxHFM3Gt,https://api.spotify.com/v1/tracks/4HN6CicOpFp1nrkxHFM3Gt,https://api.spotify.com/v1/audio-analysis/4HN6CicOpFp1nrkxHFM3Gt,179184,4,R&B,Charged Up,Tink
1007,1007,0.671,0.428,5,-9.694,0,0.0565,0.0342,0.0,0.118,0.24,98.067,audio_features,5JrQ1Jc3udCcAJasEpH0Ov,spotify:track:5JrQ1Jc3udCcAJasEpH0Ov,https://api.spotify.com/v1/tracks/5JrQ1Jc3udCcAJasEpH0Ov,https://api.spotify.com/v1/audio-analysis/5JrQ1Jc3udCcAJasEpH0Ov,207339,4,R&B,Run Away (feat. Bryson Tiller),Chris Brown
1008,1008,0.458,0.415,1,-11.342,1,0.178,0.131,0.0,0.128,0.31,98.839,audio_features,6OyOjq2nMELgQX7GspwXlR,spotify:track:6OyOjq2nMELgQX7GspwXlR,https://api.spotify.com/v1/tracks/6OyOjq2nMELgQX7GspwXlR,https://api.spotify.com/v1/audio-analysis/6OyOjq2nMELgQX7GspwXlR,234075,5,R&B,C h e e r s,PARTYNEXTDOOR
